user,date,time,text
candythomasgou1,2023-05-04,20:12:40,https://t.co/7O95ewON0R #buffalo #palmrattle #soundtherapy #etsyhandmade #etsyshop #EtsySocial
voetbalnieuwsbe,2023-05-04,20:12:03,AA Gent beslist over zomertransfer Gift Orban #AAGent #Buffalo https://t.co/V8VveyePjy https://t.co/4g7z6nqbh7
carolinagirl93,2023-05-04,20:11:07,I agree great visit! Big things happening with @USFFootball!  #HornsUp #ComeToTheBay #StayInTheBay https://t.co/GKae1dE8yw
BillsNewsNow,2023-05-04,20:11:01,30-year stadium lease gets OK in Bills' last hurdle #BuffaloBills #Buffalo #GoBills #BillsNation #yahoo https://t.co/ownLpUTYuv
GolfWomenMag,2023-05-04,20:07:45,Golf Women News: LipscombWGolf: It’s been a season for the 📚 for Mary Kate‼️ #IntoTheStorm ⛈ l #HornsUp 🤘 @GolfWomenMag @ShopAmerGolf #Golf #Golfwomen #GolfWomenMag https://t.co/yOcOeSlShQ
BillsNewsNow,2023-05-04,20:04:10,Construction set to begin on Buffalo Bills’ new stadium; July 2026 scheduled completion #BuffaloBills #Buffalo #GoBills #BillsNation https://t.co/chn6eKoXAu
BadaBingBuffalo,2023-05-04,20:02:42,"Bring it to the BIng where we celebrate draft day all year long.
25 oz pour for the 16 oz price in Thursday
#42Chippewa #Buffalo
https://t.co/O4kx0qrEnM
716-853-2464 to call https://t.co/VcxawkOLVF"
RadioTrumpet,2023-05-04,20:02:42,"Now playing Da Brat Ft. Tyrese - Whatchu Like
Listen here: https://t.co/sJFejB0FXT Sundays Airs 4am Est to 4pm Pst https://t.co/Ev325L6Gc4 #LosAngeles #Houston #Seattle #NYC #NGA #Buffalo #HND #ZAF #Spain #ROU #TN #..."
FieldLevelMedia,2023-05-04,20:00:35,"Bills ready to break ground on new stadium #stadium #NFL
 #buffalobills #gobills  https://t.co/gWSyZhjp3p"
TravelWonders13,2023-05-04,20:00:29,"The Amazing Niagara Falls! 📸 🇺🇸 
#niagarafalls #niagara #canada #ontario #stcatharines #toronto #niagarafallscanada #niagaraonthelake #travel #welland #buffalo #niagararegion #nature #hamilton #photography #newyork #waterfall #forterie #thorold #niagarafallsny #falls #summer https://t.co/FSMLoIIMQl"
Pken716,2023-05-04,19:59:47,I need #Snowbunny in #Buffalo
LadaGrzegorz,2023-05-04,19:55:55,"Co by nie mówić,wojnę o Powązki wygrało 
I pokolenie #UB https://t.co/Ty90dWK9E5"
dreherathletics,2023-05-04,19:52:30,@DreherTrack deservingly so had a small photo shoot last night.  Congratulations to both boys and girls team on winning the Region 5 Class 3A Championship. @DreherHigh @dreherbooster #HornsUP #ForksUp #RoadtoState https://t.co/05KFkb9VOr
USFMBB,2023-05-04,19:51:14,"𝐁𝐮𝐥𝐥𝐬 𝐍𝐚𝐭𝐢𝐨𝐧,
Help us officially welcome @kjjenn3 _ to the Bay! 🏝️

#HornsUp🤘 | #BONE https://t.co/kzGUyKijrJ"
Cover1,2023-05-04,19:48:55,"Did anyone honestly think Dalton Kincaid was going to fall enough to give the #Bills a chance to get him?

@TheJoeMarino joined @AaronQuinn716 &amp; @GregTompsett to recap #NFLDraft2023.

Don’t miss it:

▶️ https://t.co/CLltungbOX

#BillsMafia #NFL #BuffaloBills #DallasCowboys https://t.co/chmDuyBM3N"
CayugaCC,2023-05-04,19:43:27,"Thank you to everyone who joined us, @wellscollege, and @Brooklynbugs17 for this week's #culinary and #sustainability events!

#cayuga #communitycollege #suny #auburnny https://t.co/qNt0fSB1Og"
BillsNewsNow,2023-05-04,19:43:01,"Top Dynasty WR Trade Targets 2023: Jaxon Smith-Njigba, Rashod Bateman, and Gabe Davis Are Strong Buys #BuffaloBillsFootball #BillsMafia #Buffalony #GoBills https://t.co/KIHhKk2N0a"
BillsNewsNow,2023-05-04,19:41:01,"Erie County approves Bills new stadium, construct to begin 'immediately' #BuffaloBillsFootball #BillsMafia #Buffalony #GoBills https://t.co/Cw6pLAngdI"
AlexMicheletti,2023-05-04,19:39:56,"Former @MinnStMHockey Defenseman Connor Mackey was named to the 2023 U.S Men’s National hockey team, that will compete in the 2023 IIHF Men’s World Championship in Finland and Latvia from May 12-28 #HornsUp @MN_NCAA https://t.co/U4phJsRB1u"
BisonBaseball,2023-05-04,19:33:52,"🚨 TIME CHANGE 🚨

Friday's matchup this weekend with @KSUOwlsBaseball has been moved up to 2:00 p.m. CT.

#IntoTheStorm ⛈️| #HornsUp 🤘"
Ch1r0n3x_2_1,2023-05-04,19:33:06,"View , in @farcrygame by @ubisoft on #UbisoftConnect
.
~~~~~~~~~~~~~~~~
🎮 &gt; TWITCH: https://t.co/JlSuThD9ST
🎬 &gt; STORYGAMING: https://t.co/wa8N8GOhTL
🤝 &gt; COOPGAMING: https://t.co/HtD37k7mYm
📧 All links in bio 😉
~~~~~~~~~~~~~~~~
.
#farcry6 #farcry #ub… https://t.co/7WjUTROAVR https://t.co/wKjLV0l71y"
NCSportscast716,2023-05-04,19:32:40,"@UBmenshoops | @coachGH3 

#UBhornsUP https://t.co/PgphxH1efn https://t.co/JNIrC7eW3W"
BillsNewsNow,2023-05-04,19:32:01,"Erie County approves Bills new stadium, construct to begin ‘immediately’ #BuffaloBills #Buffalo #GoBills #BillsNation #yahoo https://t.co/1ZY5ulfiuG"
BillsNewsNow,2023-05-04,19:31:05,Bills Invite Son of Former Buffalo Safety to Rookie Camp #BuffaloBills #Buffalo #GoBills #BillsNation #yahoo https://t.co/p2ob3NXjc7
HERDchronicles,2023-05-04,19:30:30,"#OTD in 2012, Matt Tuiasosopo went 4-for-4 with two solo home runs, and current #Mets pitching coach Jeremy Hefner allowed two hits over seven shutout innings in the #Bisons 9-0 win over Syracuse. #Buffalo https://t.co/XeuuI5yvnc"
KGunPod,2023-05-04,19:27:55,"Coolest thing I’ve ever owned: Ralph Wilson’s personal binder for St John Fisher training camp in 2007. Complete with league-wide contacts, team philosophy, player evaluations and a ton more #bills #buffalo #BuffaloBills https://t.co/3Xnu9Nk1b4"
LipscombWGolf,2023-05-04,19:26:28,"It’s been a season for the 📚 for Mary Kate‼️

#IntoTheStorm ⛈ l #HornsUp 🤘 https://t.co/0r9JTdioYw"
RadioTrumpet,2023-05-04,19:24:14,"Now playing Chris Brown - WE (Warm Embrace)
Listen here: https://t.co/sJFejB0FXT Sundays Airs 4am Est to 4pm Pst https://t.co/Ev325L6Gc4 #LosAngeles #Houston #Seattle #NYC #NGA #Buffalo #HND #ZAF #Spain #ROU #TN #Ra..."
BillsNewsNow,2023-05-04,19:22:01,Chargers WR Quentin Johnston's 2023 Expectations And The Roles of other Rookies #BuffaloBills #Buffalo #GoBills #BillsNation #yahoo https://t.co/stboN77mc8
aaron_nfl,2023-05-04,19:21:21,Wow!! What a stadium #Buffalo😍 https://t.co/79h9NGCcEo
BillsNewsNow,2023-05-04,19:10:04,Construction on Bills stadium to begin after Erie County Legislature approval #BuffaloBills #Buffalo #GoBills #BillsNation https://t.co/6em553uaMu
AshZification,2023-05-04,19:09:26,There is only one right answer #BuffaloBills https://t.co/XOGJifpN2d
fishmarketva,2023-05-04,19:04:35,"Spicy &amp; fresh is the perfect combo. 🔥 Try our Hot &amp; Spicy Buffalo Shrimp today!
#spicy #buffalo #delivery #supportlocalbusiness #visitalx #northernvrginiafoodies #seafood #patiodining #fishmarket #ubereats #nomnom https://t.co/H4ujDpOVku"
joeysportsguy,2023-05-04,19:02:09,"Former #DaBears DE @CoreyWootton LOVES what the Bears did on Day 3 with the selection of RB Roschon Johnson and WR Tyler Scott!

New episode of BLEAV IN BEARS available now!

@BleavSports @BleavNetwork @sportstalkchi #NFL #HornsUp #ChicagoBears https://t.co/zxL9xn4SK1"
HolcombFootball,2023-05-04,19:01:15,Thanks to FHSU Tigers football and Coach Waiters for coming by the school to see a few kids! #HornsUp #Team https://t.co/jhfPvJtXvD
ShariMi76108510,2023-05-04,18:57:29,"Let’s go Sam 💪🏼💪🏼
#UBhornsUP https://t.co/5p13FktIKV"
HolcombFootball,2023-05-04,18:57:13,Huge thank you to Equity Bank and Mary Fran Hughes-Funk for renewing your banner sponsorship! We appreciate your support of the HHS football program! #HornsUp #Team https://t.co/1s2wjfHM2L
stadler91,2023-05-04,18:56:54,"Well, at least we haven't had to deal with any of these slaps in the face. Yoy want to leave, leave. Don't need to throw it back. #MavFam #HornsUp https://t.co/oVArId1x3D"
HFISD_Longhorns,2023-05-04,18:56:36,"Strength and Speed Camp (Boys):
https://t.co/sxIwjcyAA7

Strength and Speed Camp (Girls):
https://t.co/QuY53NevPr

Volleyball Camp:
https://t.co/6fFuWtMAKw

#WeAreHFISD #409Sports #HornsUp"
BuffaloSauceGod,2023-05-04,18:56:22,"Tune in at 7 PM ET into ‘The Sit Down’ presented by @Duffs_Wings on the @BuiltInBuffalo_  network as @MafiaMontage &amp; I officially move to Thursday nights — this week, we focus on the Bills’ roster &amp; upcoming schedule release! #BillsMafia

#BuffaloBills #BuiltInBuffalo https://t.co/YoXkP1aPXv"
FullersGolfBay,2023-05-04,18:53:04,"I have #golf clubs for sale.  

I out grew my clubs...cash only    

#TaylorMade 22 degree Aeroburner ($60)  
-hybrid/rescue club 
-Stiff flex    

#Mizuno MP 33 ($400)  
-4 - PW 
-Stiff Flex    

Custom built by me

DM me    

#wkbw #wgrz #news4buffalo #thebuffalonews #buffalo"
TimWBEN,2023-05-04,18:44:14,On to groundbreaking!  https://t.co/yZP2VsoZf2. #BillsMafia #Buffalo
dreherathletics,2023-05-04,18:28:44,#HornsUp #ForksUp Good luck today @DreherBaseball may the bats strike 🔥🔥🔥 https://t.co/gwJsZ2wd1K
Vlad__Legion,2023-05-04,18:25:52,"CANNIBAL CORPSE
Eaten back to Life 🇺🇲 '90 [Full Album]
#HornsUp #SanctifyTheBones #DeathMetal 

@aquelarremetal1 @MetalGuardianes @DeathDoomed @TodoHeavyMetal @MetallianMag @riff_ofmetal @MetalCorrosivo @newmetalalbums1 @themetaltower @ThisDayInMETAL

https://t.co/v7gVzOzt2z https://t.co/AeNYv8bxGy"
thetaralynch,2023-05-04,18:23:59,"BREAKING: Erie County Legislature approves Bills Stadium Deal. Signed, sealed and delivered #Buffalo. https://t.co/9Aa4i0YGDC"
BillsNewsNow,2023-05-04,18:21:01,NFL to release 2023 schedule during upcoming week #BuffaloBillsFootball #BillsMafia #Buffalony #GoBills https://t.co/Fv0SDXYNSO
weconnectlife,2023-05-04,18:19:24,"(2/2)

📍 Tonawanda Blood Donation Center
96 Niagara St
Tonawanda, NY 14150 

📍 Lockport Blood Donation Center
135 E Main Street
Lockport, NY 14094

Find an appointment: https://t.co/44areSdsix

#plateletpromise #plateletdonation #giveblood #savelives #buffalove #weconnectlife"
Vlad__Legion,2023-05-04,18:16:35,"AUTOPSY
Torniquetes, Hacksaws, 🇺🇲 '14 [Full Album]
#HornsUp #SanctifyTheBones #DeathMetal #Autopsy

@aquelarremetal1 @MetalGuardianes @DeathDoomed @TodoHeavyMetal @MetallianMag @riff_ofmetal @MetalCorrosivo @newmetalalbums1 @themetaltower @ThisDayInMETAL

https://t.co/cGPTSsbn96 https://t.co/u5lioNyTLJ"
chcbuffalo,2023-05-04,18:15:19,"May is #MentalHealthAwareness month. At CHCB, we offer a variety of Behavioral Health services at our #Buffalo and #NiagaraFalls locations.

Book your appointment today: https://t.co/REiOjkpA5I

#Buffalo #Healthcare #FQHC #BehavioralHealth #MentalHealthAwarenessMonth https://t.co/vfxP3PALLb"
BillsNewsNow,2023-05-04,18:15:12,"Buffalo Bills extend rookie camp invitations to 11 players, according to reports #BuffaloBills #Buffalo #GoBills #BillsNation #yahoo https://t.co/cUGAndpkEo"
LipscombWBB,2023-05-04,18:14:08,"A look 🔙 at a historic season! 

#IntoTheStorm ⛈️| #HornsUp 🤘 https://t.co/Ow3Gm0yP7b"
UB_Wrestling,2023-05-04,18:11:17,"Sam Mitchell Qualifies for World Team Trials

🔗https://t.co/km1PbmXJSZ

#UBhornsUP"
BigBagAKnuckles,2023-05-04,18:07:56,24-10 #HornsUp https://t.co/ezVumZDptV
MountToday,2023-05-04,18:07:07,Congratulations Kemoy! #Committed #ClassOf2023 #NextStopCollege #PurchaseBound #SUNY @SUNY_Purchase https://t.co/Qk7KVEfeOl
cityyearbuffalo,2023-05-04,18:04:02,"We are so excited to annouce that we have been chosen as Grant Winner through the J.P.Morgan Corporate Challenge! Join us in participating in the Corporate Challenge on June 15th!!🎉 See you there! 

#buffalony #corporatechallenge #grantwinner #celebration #event #buffaloevent https://t.co/1Ec6PyOT0o"
BadaBingBuffalo,2023-05-04,18:02:18,"Before you head to Shea's 710 to see Kinky Boots
Bring it to the BING for dinner &amp; drinks
#42Chippewa #Buffalo
See our amazing menu at https://t.co/O4kx0qrEnM
716-853-2464 for reservations https://t.co/guOtcQHkLY"
UBSSW,2023-05-04,18:01:10,"On May 14, 2022, a white supremacist murdered 10 Black citizens and wounded several others in a targeted attack at a grocery store in Buffalo's East Side. One year later, the victims’ families, survivors and greater community work to recover and heal. On May 11 . . .#UBuffalo 1/ https://t.co/HgFYGfXiYi"
Chasef_145,2023-05-04,17:58:01,@AtomicSpeedway tonight with the @lucasdirt #HornsUp https://t.co/f8TgBkepG3
Rich_Massaro,2023-05-04,17:56:45,"Thank you to @LehighFootball and @Bucknell_FB for your plans to attend our our “Beast of the Border” Mega Camp in Buffalo, NY 🤘🏼.

🇺🇸 x 🇨🇦

#UBHornsUp | #ALL41 | #Bull2Mafi4 | #GoLehigh | #TheNest | #rayBucknell https://t.co/FlXSqG8JqB"
MZapresic,2023-05-04,17:55:04,@BuffaloBills May the fourth be with you also #BuffaloBills
HERDchronicles,2023-05-04,17:54:45,"#OTD in 1968, Brant Alyea blasted two solo home runs to power the #Bisons to a 4-3 win over the Toledo Mud Hens. #Buffalo https://t.co/m0sxKw1sJx"
TheBuffaloNews,2023-05-04,17:42:14,"Find out where @LukeRussert likes to head for wings when he's in  #Buffalo
https://t.co/VnmYBW9tOZ https://t.co/0jz7M2OEjR"
FoGOLF,2023-05-04,17:36:04,"Meet the Buffalo Bills' Newest Addition: Trent ...
 
https://t.co/xhVu8qVyil
 
#2023BuffaloBills #BillsPodcast #BillsWr #BuffaloBills #BuffaloBills2023 #BuffaloBillsNews #BuffaloBillsNewsToday #BuffaloBillsPodcast #BuffaloBillsRumor #BuffaloBillsRumors #BuffaloBillsToday https://t.co/lw2N0CFsVx"
GybenThomas,2023-05-04,17:24:56,Josh Allen Weighs How Much?? #shorts https://t.co/UIKTvpc8Ot via @YouTube #comedy #golf #Buffalo #football
BillsNewsNow,2023-05-04,17:20:00,Super Bowl odds for all 32 teams after the 2023 NFL draft #BuffaloBillsFootball #BillsMafia #Buffalony #GoBills https://t.co/3zBE7ryrGC
UBHealthCast,2023-05-04,17:17:19,"⚠️New episode alert!⚠️

🎙Learn about food sovereignty and refugee health: https://t.co/aJf2Q2Siep

#UBuffalo #UBPublicHealth #UBSPHHP #FoodSovereignty #RefugeeHealth #HealthEquity #PublicHealth #Podcast @ubsphhp @buffaloarchplan https://t.co/lOD7PgrzQH"
BillsNewsNow,2023-05-04,17:11:00,"Dillon Brooks, Steve Clifford and Howard Beck on what it takes to win in the playoffs #BuffaloBills #Buffalo #GoBills #BillsNation #yahoo https://t.co/GnNnwofgFi"
BillsNewsNow,2023-05-04,17:09:00,How Andrew Nembhard was able to grow from second-round pick to a key starter for the Indiana Pacers #BuffaloBills #Buffalo #GoBills #BillsNation #yahoo https://t.co/kOwCjU4jfE
OrthoAssocNY,2023-05-04,17:05:52,"If you want to straighten your teeth, you are likely looking into your options. To get a free consultation with our WNY orthodontists, call us today. #orthodontist #wny #buffalo #braces #invisalign https://t.co/5S0uSDqdZR https://t.co/oXfOdFOIZV"
utexascoe,2023-05-04,17:05:15,"Put your #hornsup for COE alumnus Langston Clark, Ph.D., who received the Piper Professor Award! Currently teaching at @UTSA, he is being recognized for his outstanding commitment to his students that extends beyond the classroom: https://t.co/ymYdEmH2kq 
https://t.co/GilKnHs00d"
WayoftheBison,2023-05-04,17:01:26,"#Bison are adept swimmers, able to cross streams and rivers without difficulty. @smithsonianzoo #wildlife #nature #yellowstone #yellowstonenationalpark #travelphotography #wyoming #adventure #americanbison #buffalo #findyourpark #landscape #nationalpark #bisonstrong #bisonlover https://t.co/TA2lzk5v6D"
mako_grant,2023-05-04,16:54:06,"After an amazing conversation with @BryanApplewhite, I am truly blessed to have received an offer from University at Buffalo! @UBFootball @SinqueTurner @LemmingReport @AllenTrieu @Rivals_Clint @EDGYTIM @SWiltfong247 @Levi_bradley312 #UBhornsUP https://t.co/bClMEvFwox"
JayShort92,2023-05-04,16:52:33,"#Buffalo It is International Fire Fighters day! So, I would like to personally say than you to all the Fire Fighters for your service! Bless you all!"
ubsphhp,2023-05-04,16:47:23,"Commencement is just two weeks away! 🎓

#UBClassOf2023, read Dr. Daniels' words of inspiration as motivation to finish out your semester strong! You're almost there!

#UBuffalo #UBSPHHP #UBClass0f2023 #UBTrueBlue https://t.co/IgT8UEpUvL"
tmj_buf_retail,2023-05-04,16:31:40,"Want to work in #Buffalo, NY? View our latest opening: https://t.co/oNtHbrvWmC #Retail"
Vlad__Legion,2023-05-04,16:20:25,"GRAVE DISGRACE
Visions Tomorrow 🇷🇺 '23 [Full Album]
#HornsUp #SanctifyTheBones #DoomMetal #Stoner 

@aquelarremetal1 @MetalGuardianes @DeathDoomed @TodoHeavyMetal @MetallianMag @riff_ofmetal @MetalCorrosivo @newmetalalbums1 @themetaltower @ThisDayInMETAL

https://t.co/dUPKc5qDxx https://t.co/3DlglemTY5"
UB_History,2023-05-04,16:09:00,"May 18, 2023
3:00-5:00 PM
Park 532

Join us for a celebration of the research conducted by our MA and Senior Honors Program Students! Students will present on their research projects, the culmination of their work as an MA student or History Honors Student.  #ubuffalo https://t.co/RvARsLOggO"
tmj_buf_legal,2023-05-04,16:08:45,"Click the link in our bio to see currently open #Legal jobs like ""Paralegal IV supporting the US Attorney's Office"" at FSA in #Buffalo, NY."
BillsNewsNow,2023-05-04,16:05:29,2023 NFL draft: PFF hands Bills high marks for selections #BuffaloBills #Buffalo #GoBills #BillsNation #yahoo https://t.co/nDwJz8QPyA
BadaBingBuffalo,2023-05-04,16:05:20,"25 Oz. Draft pour for the 16 Oz. price ALL DAY THURSDAY
#lunch #dinner #drinks
Full Bar(s) #42Chippewa #Buffalo
https://t.co/O4kx0qrEnM
716-853-2464 https://t.co/XKbXcYI0wu"
26shirts,2023-05-04,16:05:00,"Our designs come on a variety of shapes and sizes! ""The Animated City"" benefits Reese Wagner. Gear up and do some good! Presented by @WestHerr: https://t.co/E5ECr8EWfF #BillsMafia #GoBills #Buffalo https://t.co/IfRD4RVeKJ"
KickBackThread,2023-05-04,16:04:31,"Just added to my #Poshmark closet:

#Hollister Mens Multicolor #Retro Short Sleeve Button Up Shirt XL

#Style #RetroStyle #Fashion #ForSale #SummerFashion #LA #NewYork #Buffalo #Chicago #Houston #Detroit #Portland #Vegas #Dallas

https://t.co/oK92lXafA3 #shopmycloset @poshmarkapp"
UBGSE,2023-05-04,16:03:48,"Join #UBuffalo for the lecture, “Racism, Racial Literacy and Mental Health: A Conversation with Dr. Howard Stevenson,” to discuss how systemic racism, racial trauma and racial stress contribute to racial health disparities. 

Register: https://t.co/L90dJCJr9T

#BuffaloNY #UBGSE"
hatefulgnomepod,2023-05-04,16:01:33,"On the next Hut, we welcome @takebandlv. Check them out on @Spotify &amp; tune in tomorrow to hear our interview.

https://t.co/CWUwIz2cXZ

#hatefulgnome #stayheavy #hornsup #metalcore #metalhead #heavymetal #thrashmetal #deathmetal #metalmusic #metalband #heavymusic #podnation https://t.co/nyV3FCSlwl"
BillsNewsNow,2023-05-04,16:01:31,He was loved by everybody': Eastmoore Academy freshman killed in east Columbus crash #BuffaloBills #Buffalo #GoBills #BillsNation #yahoo https://t.co/7BwDLTCC3I
Vlad__Legion,2023-05-04,15:57:29,"ARIDUS
Serpent Moon  🇺🇲 '23 [Full Album]
#HornsUp #SanctifyTheBones #BlackMetal 

@aquelarremetal1 @MetalGuardianes @DeathDoomed @TodoHeavyMetal @MetallianMag @riff_ofmetal @MetalCorrosivo @newmetalalbums1 @themetaltower @ThisDayInMETAL @metalmexnet

https://t.co/LBlAZdYM8O https://t.co/5gCyq8Hmep"
tmj_buf_eng,2023-05-04,15:56:23,"This #GeneralScience job might be a great fit for you. Click the link in our bio to see it and more. Associate or Full Professor - Cell Stress Biology at Roswell Park Comprehensive Cancer Center #Buffalo, NY"
DreherBaseball,2023-05-04,15:52:50,"Good morning, it's another playoff GAME DAY‼️ Your Blue Devils take on the Georgetown HS Bulldogs tonight @ 7pm @ Mike Johnson Park. Hope to see some Blue Devil Fans on the road!! #HornsUP @dreherathletics @DreherHigh @dreherbooster https://t.co/bri9ASL6J9"
BillsNewsNow,2023-05-04,15:52:05,Basketball pilot 'Real Rat' filmed in Spokane #BuffaloBills #Buffalo #GoBills #BillsNation #yahoo https://t.co/G4OsImCWKL
BillsNewsNow,2023-05-04,15:51:10,Davis Stabbings Update | Person detained in Davis after series of stabbings #BuffaloBills #Buffalo #GoBills #BillsNation #yahoo https://t.co/7f6XP4EIYe
UBStudentExp,2023-05-04,15:47:06,Try not. Do… or do not. There is no try. #UBuffalo #May4thBeWithYou https://t.co/ZXdAwC9K0Y
